date,era5_t2m,era5_d2m,era5_sp,era5_u10,era5_v10,era5_tcwv,era5_tp,era5_rh,era5_ws
2009-01-01,24.276963806152366,22.577363586425804,981.18216796875,-0.40078672720119357,-1.228786587715149,55.39524745941162,3.3106567279901356,90.254687043321,1.2924962200522225
2009-01-02,24.104028320312523,22.393708801269554,982.60474609375,-0.5930915251374245,-1.4291267693042755,56.74329090118408,5.763065593782812,90.18387271575914,1.5473076229153375
2009-01-03,23.118676757812523,21.82441101074221,983.3236328125,-0.42981259152293205,-2.0821535289287567,55.61975383758545,5.9297262923792005,92.4368855992294,2.1260531935636355
2009-01-04,23.75190887451174,21.64326629638674,983.013046875,-0.4527624770998955,-1.580104649066925,52.50429630279541,0.7027634019323159,87.99309587863972,1.6436923564562025
2009-01-05,24.47712860107424,21.702073669433616,982.34521484375,-0.44957873225212097,-1.5951135754585266,49.51683521270752,0.654618592307088,84.54863459074852,1.657259290245648
2009-01-06,24.850854492187523,21.491479492187523,983.20259765625,-0.5655288062989712,-1.4907097816467285,46.57386779785156,0.18827185704139993,81.62270764001094,1.594377146051453
2009-01-07,24.80830535888674,21.31233367919924,984.277421875,-0.43771572643890977,-1.9117640554904938,46.45270347595215,0.3634208387666149,80.93722905900998,1.961233504975224
2009-01-08,24.40094146728518,21.214997863769554,985.40734375,-0.8299082070589066,-1.6728118360042572,48.324442863464355,0.5323275981936604,82.43952817183155,1.8673636686033235
2009-01-09,24.203172302246116,21.06910095214846,985.1100390625,-0.7861898690462112,-1.79619562625885,42.705172538757324,0.32088776788441464,82.67882316510348,1.9607175314109682
2009-01-10,23.329438781738304,19.89722595214846,984.88068359375,-0.7428592890501022,-1.6736656725406647,42.59653663635254,0.24132688486133702,81.06526991876363,1.831118976683115
2009-01-11,23.97009429931643,20.429483032226585,985.05125,-0.7127805054187775,-1.2342230677604675,42.90506553649902,0.20903595941490494,80.60663143771092,1.425258794007989
2009-01-12,23.784883117675804,20.65662536621096,986.64224609375,-1.067427635192871,-1.605428010225296,46.55154323577881,0.45982864685356617,82.65879796669871,1.9279006334324906
2009-01-13,23.168931579589866,20.365136718750023,987.4528515625,-1.4457769095897675,-1.984769344329834,46.51620006561279,0.6081841238483321,84.25857490914072,2.4555203567664465
2009-01-14,23.12652740478518,20.06410369873049,987.2090625,-1.3816371709108353,-2.1652738749980927,45.45389175415039,0.290050982584944,82.91758710248524,2.568527248403597
2009-01-15,23.425141906738304,19.89271697998049,986.97158203125,-1.3133194595575333,-2.1054922938346863,44.387146949768066,0.20217107703501824,80.57589288035554,2.481512805175452
2009-01-16,23.59174499511721,20.051133728027366,986.37001953125,-1.2614087909460068,-1.7309790253639221,43.998252868652344,0.14030440343049122,80.55696102797992,2.1418311147533786
2009-01-17,24.110437011718773,20.07923278808596,985.2780859375,-1.1871332079172134,-1.6213849782943726,40.25142002105713,0.04805415164810256,78.21886758786398,2.0095209631099786
2009-01-18,24.16290435791018,20.04328308105471,984.40294921875,-1.0396594256162643,-1.4419318437576294,38.03893184661865,0.028551117679853633,77.79971778814732,1.7776555243677041
2009-01-19,24.221788024902366,20.154718017578148,983.23375,-0.9821847528219223,-1.1497875601053238,36.96916198730469,0.042710422803793335,78.06170205512385,1.5121832964455117
2009-01-20,24.40704498291018,20.59083709716799,982.95845703125,-0.9520063996315002,-1.248144507408142,42.81048107147217,0.09923335574058001,79.30660080478275,1.5697709693813444
2009-01-21,24.405389404296898,20.50727996826174,982.9601953125,-0.8090140447020531,-1.415036916732788,40.77574157714844,0.14376049057318596,78.90692462046022,1.629979509147833
2009-01-22,24.759942626953148,20.12030181884768,981.974921875,-0.7031065262854099,-1.2037330120801926,39.40699577331543,0.04600493366524461,75.4268160815871,1.3940344155281064
2009-01-23,25.112145996093773,21.284776306152366,982.01458984375,-0.8934106975793839,-1.349461555480957,42.52915573120117,0.15128742325032363,79.34960920033325,1.6184032761553484
2009-01-24,25.17994079589846,22.25258026123049,982.5723046875,-1.328922614455223,-1.1063853055238724,48.92647647857666,1.2242577504366636,83.84295160854427,1.7291974321891812
2009-01-25,24.08339080810549,22.128457641601585,983.50625,-1.5099098086357117,-1.218298614025116,53.871445655822754,2.0014116762467893,88.8497160283914,1.940123486572401
2009-01-26,24.629930114746116,21.257928466796898,983.68470703125,-0.928337849676609,-1.5376740396022797,49.99185657501221,0.14378019795913133,81.53201563604406,1.7961772226617794
2009-01-27,24.447114562988304,20.797212219238304,983.18705078125,-0.8385690972208977,-1.307157352566719,48.23226261138916,0.3231024911656277,80.12850718207112,1.5530159288246548
2009-01-28,24.453607177734398,20.150804138183616,982.69560546875,-0.6100548468530178,-1.522111177444458,43.74625110626221,0.1450018462492153,76.96628124187045,1.639813816465215
2009-01-29,24.43708190917971,20.719651794433616,982.89580078125,-0.5568673023954034,-1.1219782084226608,46.85609722137451,0.6886474548082333,79.79478324993873,1.2525718712522875
2009-01-30,24.670259094238304,21.070642089843773,982.699609375,-0.6894565671682358,-1.0016155242919922,49.148009300231934,1.3030816371610854,80.40625584413851,1.215970401166957
2009-01-31,24.41328582763674,21.379930114746116,982.9354296875,-0.8321538120508194,-1.2658631205558777,48.72287178039551,0.3519412894092966,83.2157631622605,1.514889239150564
2009-02-01,24.194253540039085,20.751809692382835,983.9195703125,-0.978270873427391,-1.3261501491069794,45.180115699768066,0.2013001521845581,81.12491363896855,1.6479345010566573
2009-02-02,24.33601531982424,20.010614013671898,983.720078125,-0.6622838415205479,-1.538244605064392,38.877129554748535,0.12734310439554974,76.84084772529387,1.6747585950664416
