Date,pasir_kemudi_t2m,pasir_kemudi_d2m,pasir_kemudi_sp,pasir_kemudi_u10,pasir_kemudi_v10,pasir_kemudi_tcwv,pasir_kemudi_rh,pasir_kemudi_ws,pasir_kemudi_tp,felda_panching_t2m,felda_panching_d2m,felda_panching_sp,felda_panching_u10,felda_panching_v10,felda_panching_tcwv,felda_panching_rh,felda_panching_ws,felda_panching_tp,komtur_t2m,komtur_d2m,komtur_sp,komtur_u10,komtur_v10,komtur_tcwv,komtur_rh,komtur_ws,komtur_tp,sg_belat_t2m,sg_belat_d2m,sg_belat_sp,sg_belat_u10,sg_belat_v10,sg_belat_tcwv,sg_belat_rh,sg_belat_ws,sg_belat_tp,sg_cherating_t2m,sg_cherating_d2m,sg_cherating_sp,sg_cherating_u10,sg_cherating_v10,sg_cherating_tcwv,sg_cherating_rh,sg_cherating_ws,sg_cherating_tp
2015-01-11,25.45877,23.024536,1007.7061,-0.61758804,-3.1035728,55.58975,86.50789,3.3325698,0.19550323,25.45877,23.024536,1007.7061,-0.61758804,-3.1035728,55.58975,86.50789,3.3325698,0.19550323,25.45877,23.024536,1007.7061,-0.61758804,-3.1035728,55.58975,86.50789,3.3325698,0.19550323,25.45877,23.024536,1007.7061,-0.61758804,-3.1035728,55.58975,86.50789,3.3325698,0.19550323,25.565704,22.848267,1010.4236,-0.9332619,-5.037655,55.070217,85.060196,5.3159285,1.5411377
2015-01-12,25.72342,22.3609,1007.59094,-0.9110031,-3.5766945,47.426594,81.93337,3.7756233,0.8401871,25.72342,22.3609,1007.59094,-0.9110031,-3.5766945,47.426594,81.93337,3.7756233,0.8401871,25.72342,22.3609,1007.59094,-0.9110031,-3.5766945,47.426594,81.93337,3.7756233,0.8401871,25.72342,22.3609,1007.59094,-0.9110031,-3.5766945,47.426594,81.93337,3.7756233,0.8401871,26.143341,22.12555,1010.28595,-1.2435226,-6.032505,46.252277,78.59158,6.188674,0.49066544
2015-01-13,25.935547,22.481445,1008.0506,-1.3209114,-4.5129204,41.700226,81.73145,4.7222366,0.32615662,25.935547,22.481445,1008.0506,-1.3209114,-4.5129204,41.700226,81.73145,4.7222366,0.32615662,25.935547,22.481445,1008.0506,-1.3209114,-4.5129204,41.700226,81.73145,4.7222366,0.32615662,25.935547,22.481445,1008.0506,-1.3209114,-4.5129204,41.700226,81.73145,4.7222366,0.32615662,25.835938,22.682129,1010.7981,-2.7728157,-7.265362,42.371124,82.847694,7.8505073,0.6766319
2015-01-14,25.656769,22.346222,1009.4778,-1.6616173,-4.1440964,42.14655,82.31773,4.6108165,0.40388107,25.656769,22.346222,1009.4778,-1.6616173,-4.1440964,42.14655,82.31773,4.6108165,0.40388107,25.656769,22.346222,1009.4778,-1.6616173,-4.1440964,42.14655,82.31773,4.6108165,0.40388107,25.656769,22.346222,1009.4778,-1.6616173,-4.1440964,42.14655,82.31773,4.6108165,0.40388107,25.85794,22.48294,1012.1253,-3.5773888,-6.596977,41.955143,81.68348,7.5537243,0.6699562
2015-01-15,25.52353,21.66684,1009.2072,-1.3193016,-4.0162277,37.40469,79.66557,4.36177,0.15354156,25.52353,21.66684,1009.2072,-1.3193016,-4.0162277,37.40469,79.66557,4.36177,0.15354156,25.52353,21.66684,1009.2072,-1.3193016,-4.0162277,37.40469,79.66557,4.36177,0.15354156,25.52353,21.66684,1009.2072,-1.3193016,-4.0162277,37.40469,79.66557,4.36177,0.15354156,25.939545,21.638031,1011.97473,-1.9665184,-6.5435715,37.57803,77.20972,6.857724,0.3709793
2015-01-16,25.060333,21.01001,1008.96326,-1.0516891,-3.8562202,35.832733,79.044685,4.1015277,0.0019073486,25.060333,21.01001,1008.96326,-1.0516891,-3.8562202,35.832733,79.044685,4.1015277,0.0019073486,25.060333,21.01001,1008.96326,-1.0516891,-3.8562202,35.832733,79.044685,4.1015277,0.0019073486,25.060333,21.01001,1008.96326,-1.0516891,-3.8562202,35.832733,79.044685,4.1015277,0.0019073486,25.658966,20.999756,1011.7483,-1.4208298,-6.787861,35.25705,75.50412,6.979668,0.006198883
2015-01-17,24.977814,20.317719,1009.09454,-1.2149963,-4.0875206,36.00463,75.92404,4.341202,0.0,24.977814,20.317719,1009.09454,-1.2149963,-4.0875206,36.00463,75.92404,4.341202,0.0,24.977814,20.317719,1009.09454,-1.2149963,-4.0875206,36.00463,75.92404,4.341202,0.0,24.977814,20.317719,1009.09454,-1.2149963,-4.0875206,36.00463,75.92404,4.341202,0.0,25.78299,20.330414,1011.877,-1.2989807,-7.1424522,35.099846,71.944016,7.2714787,0.0
2015-01-18,25.141968,21.095795,1009.1056,-1.2216568,-3.6646194,39.14003,78.74982,4.0042334,0.21362305,25.141968,21.095795,1009.1056,-1.2216568,-3.6646194,39.14003,78.74982,4.0042334,0.21362305,25.141968,21.095795,1009.1056,-1.2216568,-3.6646194,39.14003,78.74982,4.0042334,0.21362305,25.141968,21.095795,1009.1056,-1.2216568,-3.6646194,39.14003,78.74982,4.0042334,0.21362305,25.765503,21.073822,1011.7606,-2.864479,-5.818184,40.06044,75.42581,6.6101136,0.18024445
2015-01-19,25.029999,21.240356,1009.59265,-1.2865334,-3.4467583,39.645657,79.94865,3.7657893,0.059604645,25.029999,21.240356,1009.59265,-1.2865334,-3.4467583,39.645657,79.94865,3.7657893,0.059604645,25.029999,21.240356,1009.59265,-1.2865334,-3.4467583,39.645657,79.94865,3.7657893,0.059604645,25.029999,21.240356,1009.59265,-1.2865334,-3.4467583,39.645657,79.94865,3.7657893,0.059604645,25.602753,21.117798,1012.2477,-2.7103615,-5.746563,41.151028,76.31003,6.417604,0.22935867
2015-01-20,25.024689,21.419067,1010.8325,-1.3422813,-2.8125992,40.646343,80.84813,3.2718675,0.14209747,25.024689,21.419067,1010.8325,-1.3422813,-2.8125992,40.646343,80.84813,3.2718675,0.14209747,25.024689,21.419067,1010.8325,-1.3422813,-2.8125992,40.646343,80.84813,3.2718675,0.14209747,25.024689,21.419067,1010.8325,-1.3422813,-2.8125992,40.646343,80.84813,3.2718675,0.14209747,25.803986,20.95813,1013.47253,-2.8979454,-4.343849,39.44224,74.66973,5.2349358,0.29993057
