date,nada,lembing,reman,nada_imputed,lembing_imputed,reman_imputed
2009-05-07,2.0,0.0,9.0,0,0,0
2009-05-08,35.9,115.2,15.7,0,0,0
2009-05-09,4.6,1.8,10.3,0,0,0
2009-05-10,12.0,2.5,34.0,0,0,0
2009-05-11,10.0,4.5,7.0,0,0,0
2009-05-12,23.5,6.0,7.5,0,0,0
2009-05-13,1.0,6.9,8.3,0,0,0
2009-05-14,12.5,4.1,12.7,0,0,0
2009-05-15,0.0,25.5,2.0,0,0,0
2009-05-16,2.0,7.5,0.0,0,0,0
2009-05-17,31.0,64.7,24.1,0,0,0
2009-05-18,18.5,19.3,22.4,0,0,0
2009-05-19,0.0,0.0,0.0,0,0,0
2009-05-20,0.0,0.0,0.0,0,0,0
2009-05-21,7.3,15.4,8.0,0,0,0
2009-05-22,0.6,1.6,1.0,0,0,0
2009-05-23,6.1,23.0,23.5,0,0,0
2009-05-24,0.0,0.0,0.0,0,0,0
2009-05-25,7.0,0.0,0.5,0,0,0
2009-05-26,16.4,20.5,13.0,0,0,0
2009-05-27,12.3,6.7,11.7,0,0,0
2009-05-28,34.2,17.3,33.1,0,0,0
2009-05-29,9.6,0.5,5.7,0,0,0
2009-05-30,0.0,0.0,0.0,0,0,0
2009-05-31,0.0,0.0,0.0,0,0,0
2009-06-01,0.0,9.0,0.0,0,0,0
2009-06-02,0.0,0.0,0.0,0,0,0
2009-06-03,0.0,0.0,0.0,0,0,0
2009-06-04,0.0,0.0,0.0,0,0,0
2009-06-05,0.0,4.0,3.5,0,0,0
2009-06-06,0.0,0.0,0.5,0,0,0
2009-06-07,9.5,2.5,14.0,0,0,0
2009-06-08,0.5,0.0,0.0,0,0,0
2009-06-09,0.0,0.0,0.0,0,0,0
2009-06-10,0.0,0.0,0.0,0,0,0
2009-06-11,0.0,5.5,8.0,0,0,0
2009-06-12,0.5,0.0,0.0,0,0,0
2009-06-13,0.5,2.0,0.0,0,0,0
2009-06-14,2.5,0.5,1.2,0,0,0
2009-06-15,23.0,10.5,15.8,0,0,0
2009-06-16,0.0,0.0,0.0,0,0,0
2009-06-17,0.0,0.0,0.0,0,0,0
2009-06-18,0.0,0.0,0.0,0,0,0
2009-06-19,0.0,0.0,0.0,0,0,0
2009-06-20,0.0,0.0,0.0,0,0,0
2009-06-21,2.5,1.5,6.0,0,0,0
2009-06-22,2.0,7.5,12.1,0,0,0
2009-06-23,42.2,49.6,71.4,0,0,0
2009-06-24,3.8,3.9,3.5,0,0,0
2009-06-25,0.0,0.0,0.0,0,0,0
2009-06-26,8.0,10.0,0.0,0,0,0
2009-06-27,1.5,0.0,0.0,0,0,0
2009-06-28,1.5,6.5,0.0,0,0,0
2009-06-29,13.4,13.7,41.4,0,0,0
2009-06-30,3.1,2.8,3.1,0,0,0
2009-07-01,0.0,9.0,0.0,0,0,0
2009-07-02,21.2,51.0,45.5,0,0,0
2009-07-03,0.8,6.0,0.0,0,0,0
2009-07-04,14.3,3.0,23.0,0,0,0
2009-07-05,0.2,0.0,0.0,0,0,0
2009-07-06,0.0,0.0,0.0,0,0,0
2009-07-07,0.4,0.4,0.4,0,0,0
2009-07-08,2.6,16.6,11.1,0,0,0
2009-07-09,7.5,2.0,2.0,0,0,0
2009-07-10,41.0,21.0,1.5,0,0,0
2009-07-11,0.5,0.0,10.0,0,0,0
2009-07-12,0.0,0.0,0.0,0,0,0
2009-07-13,0.0,0.0,0.0,0,0,0
2009-07-14,0.0,0.0,0.0,0,0,0
2009-07-15,0.0,0.0,0.0,0,0,0
2009-07-16,0.0,0.0,0.0,0,0,0
2009-07-17,0.0,0.0,0.0,0,0,0
2009-07-18,0.0,0.0,0.0,0,0,0
2009-07-19,0.0,0.0,0.0,0,0,0
2009-07-20,0.0,0.0,0.0,0,0,0
2009-07-21,0.5,19.0,0.0,0,0,0
2009-07-22,7.4,4.3,0.5,0,0,0
2009-07-23,3.6,10.2,10.0,0,0,0
2009-07-24,0.0,0.0,1.0,0,0,0
2009-07-25,0.4,0.0,16.3,0,0,0
2009-07-26,2.5,0.4,17.6,0,0,0
2009-07-27,8.1,15.6,5.6,0,0,0
2009-07-28,3.0,9.5,11.2,0,0,0
2009-07-29,0.5,0.5,1.3,0,0,0
2009-07-30,0.0,0.0,0.0,0,0,0
2009-07-31,0.0,0.0,0.0,0,0,0
2009-08-01,25.0,25.2,9.0,0,0,0
2009-08-02,0.0,0.3,0.5,0,0,0
2009-08-03,0.0,0.0,0.0,0,0,0
2009-08-04,0.0,0.0,0.0,0,0,0
2009-08-05,0.0,0.0,0.0,0,0,0
2009-08-06,0.0,0.0,0.0,0,0,0
2009-08-07,1.0,3.0,2.5,0,0,0
2009-08-08,0.0,0.0,0.5,0,0,0
2009-08-09,23.0,46.5,18.2,0,0,0
2009-08-10,5.0,5.0,5.8,0,0,0
2009-08-11,0.0,0.0,0.0,0,0,0
2009-08-12,1.5,14.5,0.0,0,0,0
2009-08-13,0.0,0.0,0.0,0,0,0
2009-08-14,0.0,0.0,0.5,0,0,0
2009-08-15,0.0,0.0,1.5,0,0,0
2009-08-16,0.5,0.0,0.0,0,0,0
2009-08-17,0.0,13.5,0.0,0,0,0
2009-08-18,0.0,0.5,0.0,0,0,0
2009-08-19,0.0,0.0,0.0,0,0,0
2009-08-20,6.7,3.4,25.8,0,0,0
2009-08-21,19.8,12.1,6.6,0,0,0
2009-08-22,29.3,32.5,3.9,0,0,0
2009-08-23,21.7,33.8,57.3,0,0,0
2009-08-24,12.1,1.7,10.7,0,0,0
2009-08-25,5.4,3.5,3.7,0,0,0
2009-08-26,44.6,20.8,13.2,0,0,0
2009-08-27,7.4,15.7,5.1,0,0,0
2009-08-28,0.5,0.0,0.7,0,0,0
2009-08-29,24.5,0.0,35.5,0,0,0
2009-08-30,1.0,10.0,12.0,0,0,0
2009-08-31,9.0,0.0,5.5,0,0,0
2009-09-01,14.0,2.0,31.5,0,0,0
2009-09-02,0.0,0.0,0.5,0,0,0
2009-09-03,2.5,13.0,0.5,0,0,0
2009-09-04,0.5,0.0,1.5,0,0,0
2009-09-05,0.4,0.4,0.4,0,0,0
2009-09-06,0.1,2.1,0.1,0,0,0
2009-09-07,0.0,0.0,0.0,0,0,0
2009-09-08,0.0,0.0,0.4,0,0,0
2009-09-09,6.0,6.0,23.1,0,0,0
2009-09-10,0.0,0.0,0.0,0,0,0
2009-09-11,0.5,4.7,0.5,0,0,0
2009-09-12,4.4,18.6,0.5,0,0,0
2009-09-13,1.1,1.7,8.0,0,0,0
2009-09-14,0.5,0.0,0.0,0,0,0
2009-09-15,0.0,0.0,0.0,0,0,0
2009-09-16,0.0,0.0,0.0,0,0,0
2009-09-17,16.3,63.8,7.8,0,0,0
2009-09-18,28.7,20.2,27.2,0,0,0
2009-09-19,3.6,7.2,8.1,0,0,0
2009-09-20,0.9,1.3,0.9,0,0,0
2009-09-21,5.0,9.0,1.0,0,0,0
2009-09-22,17.0,0.0,17.0,0,0,0
2009-09-23,52.0,13.4,63.9,0,0,0
2009-09-24,2.0,1.1,3.1,0,0,0
2009-09-25,0.0,0.0,0.5,0,0,0
2009-09-26,0.0,0.0,0.0,0,0,0
2009-09-27,0.0,0.0,0.0,0,0,0
2009-09-28,10.6,8.5,7.5,0,0,0
2009-09-29,0.4,0.0,0.0,0,0,0
2009-09-30,1.5,6.5,1.5,0,0,0
2009-10-01,0.5,0.5,0.5,0,0,0
2009-10-02,14.5,11.5,24.5,0,0,0
2009-10-03,1.9,7.0,1.0,0,0,0
2009-10-04,4.5,2.2,3.4,0,0,0
2009-10-05,17.4,2.7,18.1,0,0,0
2009-10-06,10.2,6.5,21.0,0,0,0
2009-10-07,0.0,0.0,0.0,0,0,0
2009-10-08,10.8,4.0,6.1,0,0,0
2009-10-09,4.1,5.4,3.2,0,0,0
2009-10-10,3.1,3.6,2.6,0,0,0
2009-10-11,0.0,12.5,0.5,0,0,0
2009-10-12,0.0,0.0,0.5,0,0,0
2009-10-13,4.6,0.5,30.7,0,0,0
2009-10-14,4.4,2.0,3.3,0,0,0
2009-10-15,0.4,0.4,0.4,0,0,0
2009-10-16,49.9,19.1,31.9,0,0,0
2009-10-17,17.2,43.3,2.2,0,0,0
2009-10-18,0.5,0.2,11.0,0,0,0
2009-10-19,6.5,0.0,1.0,0,0,0
2009-10-20,0.5,32.5,0.0,0,0,0
2009-10-21,26.0,12.7,29.5,0,0,0
2009-10-22,5.7,2.8,12.5,0,0,0
2009-10-23,15.8,20.5,0.0,0,0,0
2009-10-24,8.5,9.2,0.5,0,0,0
2009-10-25,2.5,13.8,2.0,0,0,0
2009-10-26,32.5,14.0,28.5,0,0,0
2009-10-27,0.4,0.4,15.5,0,0,0
2009-10-28,8.0,31.5,46.5,0,0,0
2009-10-29,2.6,1.1,6.0,0,0,0
2009-10-30,0.0,0.0,0.0,0,0,0
2009-10-31,0.0,0.0,0.0,0,0,0
2009-11-01,5.0,0.0,2.5,0,0,0
2009-11-02,12.1,1.5,0.5,0,0,0
2009-11-03,0.4,13.9,0.0,0,0,0
2009-11-04,23.9,40.6,34.0,0,0,0
2009-11-05,73.5,53.4,82.5,0,0,0
2009-11-06,48.0,63.6,50.9,0,0,0
2009-11-07,0.1,0.1,0.1,0,0,0
2009-11-08,0.4,2.3,0.4,0,0,0
2009-11-09,13.1,13.2,13.6,0,0,0
2009-11-10,6.5,7.0,0.0,0,0,0
2009-11-11,0.5,0.0,0.0,0,0,0
2009-11-12,0.8,0.3,0.3,0,0,0
2009-11-13,15.2,10.6,14.2,0,0,0
2009-11-14,2.3,2.0,2.9,0,0,0
2009-11-15,16.7,2.5,19.6,0,0,0
2009-11-16,0.0,0.0,0.0,0,0,0
2009-11-17,0.0,0.0,0.0,0,0,0
2009-11-18,16.3,17.7,16.3,0,0,0
2009-11-19,22.7,21.4,26.0,0,0,0
2009-11-20,60.7,38.7,69.0,0,0,0
2009-11-21,62.7,55.6,65.2,0,0,0
2009-11-22,42.1,34.8,46.5,0,0,0
2009-11-23,9.1,11.3,18.2,0,0,0
2009-11-24,0.7,2.5,1.3,0,0,0
2009-11-25,4.0,13.5,4.5,0,0,0
2009-11-26,17.5,24.5,13.4,0,0,0
2009-11-27,9.0,13.5,15.1,0,0,0
2009-11-28,0.0,0.0,0.0,0,0,0
2009-11-29,0.0,0.0,0.5,0,0,0
2009-11-30,4.9,4.3,5.5,0,0,0
2009-12-01,6.4,3.0,10.8,0,0,0
