date_start,date_end,nada_3931013,lembing_3930012,reman_3931014,nada_3931013_missing,lembing_3930012_missing,reman_3931014_missing,nada_3931013_15m_total,nada_3931013_15m_peak,nada_3931013_15m_std,lembing_3930012_15m_total,lembing_3930012_15m_peak,lembing_3930012_15m_std,reman_3931014_15m_total,reman_3931014_15m_peak,reman_3931014_15m_std,doy_sin,doy_cos,month_sin,month_cos,nada_3931013_total_rm3,nada_3931013_peak_rm3,nada_3931013_total_rm7,nada_3931013_peak_rm7,nada_3931013_total_rm14,nada_3931013_peak_rm14,nada_3931013_total_lag3,nada_3931013_total_lag7,nada_3931013_total_lag14,lembing_3930012_total_rm3,lembing_3930012_peak_rm3,lembing_3930012_total_rm7,lembing_3930012_peak_rm7,lembing_3930012_total_rm14,lembing_3930012_peak_rm14,lembing_3930012_total_lag3,lembing_3930012_total_lag7,lembing_3930012_total_lag14,reman_3931014_total_rm3,reman_3931014_peak_rm3,reman_3931014_total_rm7,reman_3931014_peak_rm7,reman_3931014_total_rm14,reman_3931014_peak_rm14,reman_3931014_total_lag3,reman_3931014_total_lag7,reman_3931014_total_lag14,nada_3931013_consec_dry,lembing_3930012_consec_dry,reman_3931014_consec_dry
2009-01-11,2009-01-12,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18809941761179758,0.9821499931752291,0.49999999999999994,0.8660254037844387,0.0,0.0,1.1428571428571428,0.5,33.63636363636363,3.6545454545454543,0.0,17.5,,0.0,0.0,1.7857142857142858,0.4571428571428572,39.13636363636363,3.8454545454545452,0.0,23.5,,0.0,0.0,2.5714285714285716,1.0714285714285714,36.809090909090905,4.0636363636363635,0.0,18.5,,5,6,6
2009-01-12,2009-01-13,4.0,4.5,2.5,0,0,0,3.0,1.9,0.20637854845685366,4.0,3.2,0.3358153210092735,2.0,1.7,0.1758687708531663,0.20496611396949532,0.9787690698649216,0.49999999999999994,0.8660254037844387,1.3333333333333333,0.6333333333333333,0.6428571428571429,0.2714285714285714,31.166666666666668,3.5083333333333333,0.0,7.5,,1.5,1.0666666666666667,0.6428571428571429,0.4571428571428572,36.25,3.7916666666666665,0.0,12.5,,0.8333333333333334,0.5666666666666667,0.35714285714285715,0.24285714285714285,33.949999999999996,3.8666666666666667,0.0,18.0,,0,0,0
2009-01-13,2009-01-14,3.4,3.4,3.8,0,0,0,1.5,0.4,0.06856134402662219,2.2,0.5,0.06566127861054741,3.4,0.6,0.08457841788500081,0.22177215755648186,0.975098513039961,0.49999999999999994,0.8660254037844387,2.466666666666667,0.7666666666666666,1.0571428571428572,0.32857142857142857,29.03076923076923,3.269230769230769,0.0,0.5,,2.6333333333333333,1.2333333333333334,1.1285714285714286,0.5285714285714286,33.723076923076924,3.5384615384615383,0.0,0.0,,2.1,0.7666666666666666,0.9,0.32857142857142857,31.63076923076923,3.6153846153846154,0.0,0.0,,0,0,0
2009-01-14,2009-01-15,3.6,5.3,5.2,0,0,0,2.5,0.9,0.10587459480234816,3.9,0.9,0.14332746826025614,4.0,2.5,0.2642433753256811,0.23851257519407648,0.9711394088771653,0.49999999999999994,0.8660254037844387,3.6666666666666665,1.0666666666666667,1.5714285714285714,0.4571428571428572,27.214285714285715,3.1,0.0,0.0,,4.3999999999999995,1.5333333333333334,1.8857142857142857,0.6571428571428573,31.692857142857143,3.35,0.0,0.0,,3.8333333333333335,1.5999999999999999,1.6428571428571428,0.6857142857142857,29.74285714285714,3.5357142857142856,0.0,0.0,,0,0,0
2009-01-15,2009-01-16,0.0,0.3,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551824131233728,0.9668929289391521,0.49999999999999994,0.8660254037844387,2.3333333333333335,0.43333333333333335,1.5714285714285714,0.4571428571428572,21.035714285714285,2.085714285714286,4.0,0.0,86.5,3.0,0.4666666666666666,1.9285714285714286,0.6571428571428573,25.12857142857143,2.4499999999999997,4.5,0.0,92.2,3.1666666666666665,1.0333333333333332,1.7142857142857142,0.6857142857142857,24.314285714285713,2.6999999999999997,2.5,0.0,76.5,1,0,0
2009-01-16,2009-01-17,0.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717767384711357,0.9623603298276545,0.49999999999999994,0.8660254037844387,1.3666666666666665,0.3,1.6428571428571428,0.4571428571428572,15.87857142857143,1.5928571428571427,3.4,0.0,72.7,1.8666666666666663,0.3,1.9285714285714286,0.6571428571428573,20.599999999999998,2.085714285714286,3.4,0.0,63.4,1.9000000000000001,0.8333333333333334,1.7142857142857142,0.6857142857142857,20.564285714285713,2.3285714285714287,3.8,0.0,52.5,0,1,1
2009-01-17,2009-01-18,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882906407095177,0.9575429528116719,0.49999999999999994,0.8660254037844387,0.16666666666666666,0.0,1.6428571428571428,0.4571428571428572,2.642857142857143,0.65,3.6,0.0,185.3,0.09999999999999999,0.0,1.9285714285714286,0.6571428571428573,3.5357142857142856,0.8642857142857142,5.3,0.0,238.9,0.16666666666666666,0.0,1.7142857142857142,0.6857142857142857,3.4642857142857144,1.0785714285714285,5.2,0.0,239.4,1,2,2
2009-01-18,2009-01-19,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047192331091634,0.9524422234305676,0.49999999999999994,0.8660254037844387,0.16666666666666666,0.0,1.6428571428571428,0.4571428571428572,1.3928571428571428,0.47857142857142854,0.0,0.0,17.5,0.0,0.0,1.9285714285714286,0.6571428571428573,1.8571428571428572,0.5571428571428572,0.3,0.0,23.5,0.0,0.0,1.7142857142857142,0.6857142857142857,2.142857142857143,0.8785714285714287,0.5,0.0,18.5,2,3,3
2009-01-19,2009-01-20,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0714285714285714,0.18571428571428572,0.8571428571428571,0.2285714285714286,0.5,4.0,7.5,0.0,0.0,1.2857142857142858,0.19999999999999998,0.9642857142857143,0.3285714285714286,0.0,4.5,12.5,0.0,0.0,1.3571428571428572,0.4428571428571428,0.8571428571428571,0.34285714285714286,0.0,2.5,18.0,3,4,4
2009-01-20,2009-01-21,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,0.0,0.0,0.5857142857142856,0.1285714285714286,0.8214285714285714,0.2285714285714286,0.0,3.4,0.5,0.0,0.0,0.7999999999999998,0.1285714285714286,0.9642857142857143,0.3285714285714286,0.0,3.4,0.0,0.0,0.0,0.8142857142857143,0.35714285714285715,0.8571428571428571,0.34285714285714286,0.0,3.8,0.0,4,5,5
