#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2011-11-26 00:00:00,2011-11-27 00:00:00,2.6,4.9,6.5
2011-11-27 00:00:00,2011-11-28 00:00:00,14.8,34.6,3.0
2011-11-28 00:00:00,2011-11-29 00:00:00,19.1,3.3,43.7
2011-11-29 00:00:00,2011-11-30 00:00:00,12.5,11.2,8.6
2011-11-30 00:00:00,2011-12-01 00:00:00,5.2,0.5,4.1
2011-12-01 00:00:00,2011-12-02 00:00:00,0.0,0.0,0.0
2011-12-02 00:00:00,2011-12-03 00:00:00,0.0,0.0,0.0
2011-12-03 00:00:00,2011-12-04 00:00:00,0.0,0.0,0.0
2011-12-04 00:00:00,2011-12-05 00:00:00,96.1,49.7,52.5
2011-12-05 00:00:00,2011-12-06 00:00:00,18.9,18.3,26.0
2011-12-06 00:00:00,2011-12-07 00:00:00,0.0,0.0,0.4
2011-12-07 00:00:00,2011-12-08 00:00:00,0.5,0.5,0.1
2011-12-08 00:00:00,2011-12-09 00:00:00,6.5,0.0,0.0
2011-12-09 00:00:00,2011-12-10 00:00:00,0.5,0.0,0.0
2011-12-10 00:00:00,2011-12-11 00:00:00,74.4,32.0,112.0
2011-12-11 00:00:00,2011-12-12 00:00:00,72.5,88.8,95.2
2011-12-12 00:00:00,2011-12-13 00:00:00,49.9,54.7,57.1
2011-12-13 00:00:00,2011-12-14 00:00:00,4.2,59.5,0.8
2011-12-14 00:00:00,2011-12-15 00:00:00,0.0,0.0,0.0
2011-12-15 00:00:00,2011-12-16 00:00:00,0.4,0.0,0.4
2011-12-16 00:00:00,2011-12-17 00:00:00,63.0,32.9,74.0
2011-12-17 00:00:00,2011-12-18 00:00:00,26.3,37.9,19.1
2011-12-18 00:00:00,2011-12-19 00:00:00,41.1,32.1,34.3
2011-12-19 00:00:00,2011-12-20 00:00:00,4.0,6.0,4.3
2011-12-20 00:00:00,2011-12-21 00:00:00,2.0,0.5,4.6
2011-12-21 00:00:00,2011-12-22 00:00:00,54.4,54.2,48.4
2011-12-22 00:00:00,2011-12-23 00:00:00,39.4,69.6,37.9
2011-12-23 00:00:00,2011-12-24 00:00:00,5.8,32.1,4.8
2011-12-24 00:00:00,2011-12-25 00:00:00,13.4,15.0,15.8
2011-12-25 00:00:00,2011-12-26 00:00:00,1.1,2.2,1.2
2011-12-26 00:00:00,2011-12-27 00:00:00,0.4,0.0,0.0
2011-12-27 00:00:00,2011-12-28 00:00:00,1.1,3.3,1.0
2011-12-28 00:00:00,2011-12-29 00:00:00,5.3,5.2,3.5
2011-12-29 00:00:00,2011-12-30 00:00:00,0.2,1.5,0.0
2011-12-30 00:00:00,2011-12-31 00:00:00,4.5,4.0,3.9
2011-12-31 00:00:00,2012-01-01 00:00:00,13.5,3.5,11.4
2012-01-01 00:00:00,2012-01-02 00:00:00,0.0,1.8,0.2
2012-01-02 00:00:00,2012-01-03 00:00:00,42.7,44.9,19.1
2012-01-03 00:00:00,2012-01-04 00:00:00,2.8,5.3,1.9
2012-01-04 00:00:00,2012-01-05 00:00:00,0.0,0.0,0.0
2012-01-05 00:00:00,2012-01-06 00:00:00,0.0,0.0,1.0
2012-01-06 00:00:00,2012-01-07 00:00:00,0.0,0.0,0.0
2012-01-07 00:00:00,2012-01-08 00:00:00,6.3,0.3,0.7
2012-01-08 00:00:00,2012-01-09 00:00:00,2.2,5.2,3.3
2012-01-09 00:00:00,2012-01-10 00:00:00,0.5,0.4,0.5
2012-01-10 00:00:00,2012-01-11 00:00:00,3.0,10.6,5.5
2012-01-11 00:00:00,2012-01-12 00:00:00,33.8,28.1,22.6
2012-01-12 00:00:00,2012-01-13 00:00:00,208.6,192.5,205.1
2012-01-13 00:00:00,2012-01-14 00:00:00,68.3,31.6,81.6
2012-01-14 00:00:00,2012-01-15 00:00:00,1.3,4.8,1.2
2012-01-15 00:00:00,2012-01-16 00:00:00,0.0,0.0,0.0
2012-01-16 00:00:00,2012-01-17 00:00:00,0.0,0.0,0.0
2012-01-17 00:00:00,2012-01-18 00:00:00,2.5,0.5,0.5
2012-01-18 00:00:00,2012-01-19 00:00:00,0.0,10.5,0.0
2012-01-19 00:00:00,2012-01-20 00:00:00,0.0,0.5,0.5
2012-01-20 00:00:00,2012-01-21 00:00:00,33.0,18.5,39.5
2012-01-21 00:00:00,2012-01-22 00:00:00,0.5,61.0,5.5
2012-01-22 00:00:00,2012-01-23 00:00:00,0.0,0.0,0.0
2012-01-23 00:00:00,2012-01-24 00:00:00,0.0,0.0,0.0
2012-01-24 00:00:00,2012-01-25 00:00:00,0.0,0.0,0.0
2012-01-25 00:00:00,2012-01-26 00:00:00,0.0,0.0,0.0
2012-01-26 00:00:00,2012-01-27 00:00:00,0.0,0.0,0.0
2012-01-27 00:00:00,2012-01-28 00:00:00,6.4,5.9,4.4
2012-01-28 00:00:00,2012-01-29 00:00:00,1.6,1.1,2.1
2012-01-29 00:00:00,2012-01-30 00:00:00,0.5,0.0,0.0
2012-01-30 00:00:00,2012-01-31 00:00:00,0.0,0.3,0.5
2012-01-31 00:00:00,2012-02-01 00:00:00,0.0,6.7,0.5
2012-02-01 00:00:00,2012-02-02 00:00:00,0.5,0.9,2.7
2012-02-02 00:00:00,2012-02-03 00:00:00,0.3,4.0,0.3
2012-02-03 00:00:00,2012-02-04 00:00:00,9.6,20.4,1.4
2012-02-04 00:00:00,2012-02-05 00:00:00,1.1,1.2,2.1
2012-02-05 00:00:00,2012-02-06 00:00:00,0.0,0.0,0.0
2012-02-06 00:00:00,2012-02-07 00:00:00,1.0,2.5,0.0
2012-02-07 00:00:00,2012-02-08 00:00:00,0.0,0.0,0.0
2012-02-08 00:00:00,2012-02-09 00:00:00,0.0,0.0,0.0
2012-02-09 00:00:00,2012-02-10 00:00:00,0.0,0.0,0.0
2012-02-10 00:00:00,2012-02-11 00:00:00,0.0,0.0,0.0
2012-02-11 00:00:00,2012-02-12 00:00:00,0.5,1.5,0.4
2012-02-12 00:00:00,2012-02-13 00:00:00,9.0,2.0,2.9
2012-02-13 00:00:00,2012-02-14 00:00:00,2.5,6.0,7.2
2012-02-14 00:00:00,2012-02-15 00:00:00,0.0,0.0,0.0
2012-02-15 00:00:00,2012-02-16 00:00:00,0.0,0.0,0.0
2012-02-16 00:00:00,2012-02-17 00:00:00,0.0,0.5,0.0
2012-02-17 00:00:00,2012-02-18 00:00:00,0.0,0.0,0.5
2012-02-18 00:00:00,2012-02-19 00:00:00,16.1,140.5,7.0
2012-02-19 00:00:00,2012-02-20 00:00:00,13.4,24.5,30.4
2012-02-20 00:00:00,2012-02-21 00:00:00,17.6,23.9,64.1
2012-02-21 00:00:00,2012-02-22 00:00:00,0.0,0.7,2.5
2012-02-22 00:00:00,2012-02-23 00:00:00,12.5,0.0,12.5
2012-02-23 00:00:00,2012-02-24 00:00:00,0.0,0.0,0.0
2012-02-24 00:00:00,2012-02-25 00:00:00,0.0,0.0,0.0
2012-02-25 00:00:00,2012-02-26 00:00:00,0.0,0.0,0.0
2012-02-26 00:00:00,2012-02-27 00:00:00,0.0,0.0,0.0
2012-02-27 00:00:00,2012-02-28 00:00:00,0.0,0.5,0.0
2012-02-28 00:00:00,2012-02-29 00:00:00,15.0,1.5,10.5
2012-02-29 00:00:00,2012-03-01 00:00:00,13.0,2.0,41.0
2012-03-01 00:00:00,2012-03-02 00:00:00,1.4,7.3,2.0
2012-03-02 00:00:00,2012-03-03 00:00:00,24.4,27.4,19.2
2012-03-03 00:00:00,2012-03-04 00:00:00,10.2,10.8,8.3
2012-03-04 00:00:00,2012-03-05 00:00:00,0.0,0.0,0.0
2012-03-05 00:00:00,2012-03-06 00:00:00,13.5,5.5,2.5
2012-03-06 00:00:00,2012-03-07 00:00:00,0.0,37.2,0.0
2012-03-07 00:00:00,2012-03-08 00:00:00,0.5,1.2,0.4
2012-03-08 00:00:00,2012-03-09 00:00:00,46.4,12.6,41.6
2012-03-09 00:00:00,2012-03-10 00:00:00,1.5,49.2,0.8
2012-03-10 00:00:00,2012-03-11 00:00:00,13.0,11.3,1.4
2012-03-11 00:00:00,2012-03-12 00:00:00,0.6,0.9,1.1
2012-03-12 00:00:00,2012-03-13 00:00:00,30.6,29.0,33.7
2012-03-13 00:00:00,2012-03-14 00:00:00,12.3,2.5,22.2
2012-03-14 00:00:00,2012-03-15 00:00:00,9.0,22.6,16.1
2012-03-15 00:00:00,2012-03-16 00:00:00,7.7,5.5,17.2
2012-03-16 00:00:00,2012-03-17 00:00:00,0.0,0.0,0.0
2012-03-17 00:00:00,2012-03-18 00:00:00,0.0,0.0,0.0
2012-03-18 00:00:00,2012-03-19 00:00:00,0.0,0.0,0.0
2012-03-19 00:00:00,2012-03-20 00:00:00,0.0,5.5,0.0
2012-03-20 00:00:00,2012-03-21 00:00:00,0.5,0.5,0.0
2012-03-21 00:00:00,2012-03-22 00:00:00,1.7,6.5,0.5
2012-03-22 00:00:00,2012-03-23 00:00:00,0.3,16.0,0.0
2012-03-23 00:00:00,2012-03-24 00:00:00,9.5,4.0,0.0
2012-03-24 00:00:00,2012-03-25 00:00:00,1.5,1.0,36.4
2012-03-25 00:00:00,2012-03-26 00:00:00,0.0,0.0,0.1
2012-03-26 00:00:00,2012-03-27 00:00:00,1.5,8.7,2.5
2012-03-27 00:00:00,2012-03-28 00:00:00,5.5,4.8,0.0
2012-03-28 00:00:00,2012-03-29 00:00:00,0.0,0.0,0.0
2012-03-29 00:00:00,2012-03-30 00:00:00,0.4,0.4,0.4
2012-03-30 00:00:00,2012-03-31 00:00:00,65.4,48.7,44.1
2012-03-31 00:00:00,2012-04-01 00:00:00,12.7,45.4,17.6
2012-04-01 00:00:00,2012-04-02 00:00:00,19.0,1.5,23.5
2012-04-02 00:00:00,2012-04-03 00:00:00,8.0,8.0,15.5
2012-04-03 00:00:00,2012-04-04 00:00:00,6.5,5.5,9.8
2012-04-04 00:00:00,2012-04-05 00:00:00,0.7,42.5,1.7
2012-04-05 00:00:00,2012-04-06 00:00:00,0.6,0.4,0.5
2012-04-06 00:00:00,2012-04-07 00:00:00,0.6,21.1,0.0
2012-04-07 00:00:00,2012-04-08 00:00:00,0.0,0.0,0.0
2012-04-08 00:00:00,2012-04-09 00:00:00,0.5,4.0,7.5
2012-04-09 00:00:00,2012-04-10 00:00:00,0.0,0.5,15.0
2012-04-10 00:00:00,2012-04-11 00:00:00,0.5,0.0,2.5
2012-04-11 00:00:00,2012-04-12 00:00:00,0.4,63.7,0.4
2012-04-12 00:00:00,2012-04-13 00:00:00,44.6,30.3,56.6
2012-04-13 00:00:00,2012-04-14 00:00:00,9.6,7.9,0.5
2012-04-14 00:00:00,2012-04-15 00:00:00,71.4,37.6,99.0
2012-04-15 00:00:00,2012-04-16 00:00:00,16.3,5.0,17.5
2012-04-16 00:00:00,2012-04-17 00:00:00,21.5,1.0,0.9
2012-04-17 00:00:00,2012-04-18 00:00:00,9.8,23.0,55.1
2012-04-18 00:00:00,2012-04-19 00:00:00,1.0,11.0,1.2
2012-04-19 00:00:00,2012-04-20 00:00:00,7.0,64.5,21.3
2012-04-20 00:00:00,2012-04-21 00:00:00,12.0,11.5,1.5
2012-04-21 00:00:00,2012-04-22 00:00:00,0.0,0.5,1.5
2012-04-22 00:00:00,2012-04-23 00:00:00,1.0,9.0,0.5
2012-04-23 00:00:00,2012-04-24 00:00:00,0.4,0.0,0.0
2012-04-24 00:00:00,2012-04-25 00:00:00,1.1,0.5,0.0
2012-04-25 00:00:00,2012-04-26 00:00:00,4.0,0.0,8.7
2012-04-26 00:00:00,2012-04-27 00:00:00,8.5,36.5,22.3
2012-04-27 00:00:00,2012-04-28 00:00:00,0.5,0.0,0.5
2012-04-28 00:00:00,2012-04-29 00:00:00,0.0,0.0,0.0
2012-04-29 00:00:00,2012-04-30 00:00:00,20.3,5.3,21.0
2012-04-30 00:00:00,2012-05-01 00:00:00,1.2,1.7,9.2
2012-05-01 00:00:00,2012-05-02 00:00:00,2.8,0.0,28.3
2012-05-02 00:00:00,2012-05-03 00:00:00,86.2,35.0,32.5
2012-05-03 00:00:00,2012-05-04 00:00:00,0.0,0.0,0.0
2012-05-04 00:00:00,2012-05-05 00:00:00,43.5,39.1,47.4
2012-05-05 00:00:00,2012-05-06 00:00:00,13.4,63.4,24.5
2012-05-06 00:00:00,2012-05-07 00:00:00,38.9,93.3,24.4
2012-05-07 00:00:00,2012-05-08 00:00:00,0.2,1.2,13.2
2012-05-08 00:00:00,2012-05-09 00:00:00,5.5,10.0,18.0
2012-05-09 00:00:00,2012-05-10 00:00:00,0.0,0.0,0.0
2012-05-10 00:00:00,2012-05-11 00:00:00,0.0,7.0,0.0
2012-05-11 00:00:00,2012-05-12 00:00:00,0.5,1.0,0.0
2012-05-12 00:00:00,2012-05-13 00:00:00,5.5,9.1,10.9
2012-05-13 00:00:00,2012-05-14 00:00:00,37.5,3.9,10.6
2012-05-14 00:00:00,2012-05-15 00:00:00,24.0,42.4,15.9
2012-05-15 00:00:00,2012-05-16 00:00:00,2.0,2.6,3.1
2012-05-16 00:00:00,2012-05-17 00:00:00,0.0,0.0,0.0
2012-05-17 00:00:00,2012-05-18 00:00:00,0.0,0.0,0.0
2012-05-18 00:00:00,2012-05-19 00:00:00,0.0,0.0,0.0
2012-05-19 00:00:00,2012-05-20 00:00:00,0.0,0.0,0.0
2012-05-20 00:00:00,2012-05-21 00:00:00,0.5,1.0,37.0
2012-05-21 00:00:00,2012-05-22 00:00:00,0.0,0.0,0.0
2012-05-22 00:00:00,2012-05-23 00:00:00,9.5,15.0,1.5
2012-05-23 00:00:00,2012-05-24 00:00:00,14.5,16.0,7.0
2012-05-24 00:00:00,2012-05-25 00:00:00,3.3,1.2,0.9
2012-05-25 00:00:00,2012-05-26 00:00:00,0.7,1.3,0.6
2012-05-26 00:00:00,2012-05-27 00:00:00,0.0,0.0,0.0
2012-05-27 00:00:00,2012-05-28 00:00:00,7.5,1.5,2.0
2012-05-28 00:00:00,2012-05-29 00:00:00,0.5,0.5,1.0
2012-05-29 00:00:00,2012-05-30 00:00:00,63.0,7.9,65.4
2012-05-30 00:00:00,2012-05-31 00:00:00,1.0,1.2,2.6
2012-05-31 00:00:00,2012-06-01 00:00:00,45.0,19.5,38.5
2012-06-01 00:00:00,2012-06-02 00:00:00,39.2,43.2,27.2
2012-06-02 00:00:00,2012-06-03 00:00:00,16.3,13.7,25.6
2012-06-03 00:00:00,2012-06-04 00:00:00,3.9,4.6,5.7
2012-06-04 00:00:00,2012-06-05 00:00:00,0.0,0.0,0.5
2012-06-05 00:00:00,2012-06-06 00:00:00,18.2,28.6,21.4
2012-06-06 00:00:00,2012-06-07 00:00:00,1.3,1.4,2.1
2012-06-07 00:00:00,2012-06-08 00:00:00,0.0,0.0,0.0
2012-06-08 00:00:00,2012-06-09 00:00:00,0.5,0.4,0.0
2012-06-09 00:00:00,2012-06-10 00:00:00,2.0,0.6,0.0
2012-06-10 00:00:00,2012-06-11 00:00:00,0.0,0.0,0.0
2012-06-11 00:00:00,2012-06-12 00:00:00,0.0,0.0,0.0
2012-06-12 00:00:00,2012-06-13 00:00:00,0.0,0.0,0.0
2012-06-13 00:00:00,2012-06-14 00:00:00,0.0,0.0,0.0
2012-06-14 00:00:00,2012-06-15 00:00:00,0.0,0.0,0.0
2012-06-15 00:00:00,2012-06-16 00:00:00,0.0,0.0,0.0
2012-06-16 00:00:00,2012-06-17 00:00:00,0.0,0.0,0.0
2012-06-17 00:00:00,2012-06-18 00:00:00,0.0,0.0,0.0
2012-06-18 00:00:00,2012-06-19 00:00:00,0.0,0.0,0.0
2012-06-19 00:00:00,2012-06-20 00:00:00,0.5,0.5,0.5
2012-06-20 00:00:00,2012-06-21 00:00:00,6.4,0.4,3.5
2012-06-21 00:00:00,2012-06-22 00:00:00,0.1,6.1,0.0
2012-06-22 00:00:00,2012-06-23 00:00:00,0.0,0.0,0.0
2012-06-23 00:00:00,2012-06-24 00:00:00,0.0,0.0,0.0
2012-06-24 00:00:00,2012-06-25 00:00:00,1.5,20.5,0.0
2012-06-25 00:00:00,2012-06-26 00:00:00,0.0,0.0,0.0
2012-06-26 00:00:00,2012-06-27 00:00:00,1.5,7.5,3.0
2012-06-27 00:00:00,2012-06-28 00:00:00,0.0,0.0,12.5
2012-06-28 00:00:00,2012-06-29 00:00:00,0.0,0.0,0.5
2012-06-29 00:00:00,2012-06-30 00:00:00,0.0,0.0,0.0
2012-06-30 00:00:00,2012-07-01 00:00:00,0.0,0.0,0.0
2012-07-01 00:00:00,2012-07-02 00:00:00,0.5,19.0,0.0
2012-07-02 00:00:00,2012-07-03 00:00:00,0.0,0.5,2.0
2012-07-03 00:00:00,2012-07-04 00:00:00,14.5,0.0,3.0
2012-07-04 00:00:00,2012-07-05 00:00:00,0.0,0.0,0.0
2012-07-05 00:00:00,2012-07-06 00:00:00,1.0,2.0,1.0
2012-07-06 00:00:00,2012-07-07 00:00:00,0.0,0.0,0.5
2012-07-07 00:00:00,2012-07-08 00:00:00,18.5,48.5,15.5
2012-07-08 00:00:00,2012-07-09 00:00:00,18.2,9.4,50.3
2012-07-09 00:00:00,2012-07-10 00:00:00,0.8,1.6,2.7
2012-07-10 00:00:00,2012-07-11 00:00:00,2.8,5.8,0.4
2012-07-11 00:00:00,2012-07-12 00:00:00,10.2,1.7,2.1
2012-07-12 00:00:00,2012-07-13 00:00:00,0.0,0.0,0.0
2012-07-13 00:00:00,2012-07-14 00:00:00,0.0,0.0,0.0
2012-07-14 00:00:00,2012-07-15 00:00:00,0.0,0.0,0.0
2012-07-15 00:00:00,2012-07-16 00:00:00,95.5,18.0,28.5
2012-07-16 00:00:00,2012-07-17 00:00:00,0.0,1.0,0.0
2012-07-17 00:00:00,2012-07-18 00:00:00,45.5,22.4,48.5
2012-07-18 00:00:00,2012-07-19 00:00:00,0.5,9.6,0.5
2012-07-19 00:00:00,2012-07-20 00:00:00,15.8,47.1,17.1
2012-07-20 00:00:00,2012-07-21 00:00:00,4.2,2.9,5.4
2012-07-21 00:00:00,2012-07-22 00:00:00,0.0,0.0,0.0
2012-07-22 00:00:00,2012-07-23 00:00:00,0.0,0.0,0.0
2012-07-23 00:00:00,2012-07-24 00:00:00,11.0,0.5,0.0
2012-07-24 00:00:00,2012-07-25 00:00:00,0.0,0.0,0.0
2012-07-25 00:00:00,2012-07-26 00:00:00,0.0,0.0,0.0
2012-07-26 00:00:00,2012-07-27 00:00:00,0.0,0.0,0.0
2012-07-27 00:00:00,2012-07-28 00:00:00,4.5,0.0,39.5
2012-07-28 00:00:00,2012-07-29 00:00:00,0.0,0.0,0.0
2012-07-29 00:00:00,2012-07-30 00:00:00,0.0,0.0,0.0
2012-07-30 00:00:00,2012-07-31 00:00:00,0.0,0.0,0.0
2012-07-31 00:00:00,2012-08-01 00:00:00,0.0,0.0,0.0
2012-08-01 00:00:00,2012-08-02 00:00:00,0.0,0.0,0.0
2012-08-02 00:00:00,2012-08-03 00:00:00,0.0,0.0,0.0
2012-08-03 00:00:00,2012-08-04 00:00:00,0.0,0.0,0.0
2012-08-04 00:00:00,2012-08-05 00:00:00,0.0,0.0,0.0
2012-08-05 00:00:00,2012-08-06 00:00:00,0.5,0.0,0.0
2012-08-06 00:00:00,2012-08-07 00:00:00,1.8,4.0,14.0
2012-08-07 00:00:00,2012-08-08 00:00:00,0.2,0.6,0.0
2012-08-08 00:00:00,2012-08-09 00:00:00,0.0,0.4,0.0
2012-08-09 00:00:00,2012-08-10 00:00:00,0.0,0.0,0.0
2012-08-10 00:00:00,2012-08-11 00:00:00,0.0,0.0,0.0
2012-08-11 00:00:00,2012-08-12 00:00:00,0.0,0.0,0.0
2012-08-12 00:00:00,2012-08-13 00:00:00,2.0,43.5,0.5
2012-08-13 00:00:00,2012-08-14 00:00:00,0.5,0.5,0.0
2012-08-14 00:00:00,2012-08-15 00:00:00,3.5,0.0,0.0
2012-08-15 00:00:00,2012-08-16 00:00:00,28.5,0.0,26.0
2012-08-16 00:00:00,2012-08-17 00:00:00,5.0,2.7,28.5
2012-08-17 00:00:00,2012-08-18 00:00:00,0.0,2.8,10.5
2012-08-18 00:00:00,2012-08-19 00:00:00,46.5,10.5,17.5
2012-08-19 00:00:00,2012-08-20 00:00:00,0.0,5.5,4.5
2012-08-20 00:00:00,2012-08-21 00:00:00,1.5,10.0,1.0
2012-08-21 00:00:00,2012-08-22 00:00:00,1.0,0.0,0.0
2012-08-22 00:00:00,2012-08-23 00:00:00,13.5,8.5,36.0
2012-08-23 00:00:00,2012-08-24 00:00:00,0.0,0.0,0.0
2012-08-24 00:00:00,2012-08-25 00:00:00,11.0,10.0,50.0
2012-08-25 00:00:00,2012-08-26 00:00:00,2.5,0.0,12.0
2012-08-26 00:00:00,2012-08-27 00:00:00,0.0,0.0,0.0
2012-08-27 00:00:00,2012-08-28 00:00:00,9.0,1.5,24.5
2012-08-28 00:00:00,2012-08-29 00:00:00,1.0,0.5,1.4
2012-08-29 00:00:00,2012-08-30 00:00:00,0.0,0.0,0.1
2012-08-30 00:00:00,2012-08-31 00:00:00,4.5,12.0,0.5
2012-08-31 00:00:00,2012-09-01 00:00:00,0.0,0.0,0.0
2012-09-01 00:00:00,2012-09-02 00:00:00,0.0,0.0,0.0
2012-09-02 00:00:00,2012-09-03 00:00:00,0.0,0.0,0.0
2012-09-03 00:00:00,2012-09-04 00:00:00,0.3,0.0,0.0
2012-09-04 00:00:00,2012-09-05 00:00:00,5.0,3.8,3.3
2012-09-05 00:00:00,2012-09-06 00:00:00,3.7,1.7,5.7
2012-09-06 00:00:00,2012-09-07 00:00:00,0.0,0.0,0.0
2012-09-07 00:00:00,2012-09-08 00:00:00,0.0,0.0,0.0
2012-09-08 00:00:00,2012-09-09 00:00:00,0.5,0.4,0.4
2012-09-09 00:00:00,2012-09-10 00:00:00,32.0,18.6,59.9
2012-09-10 00:00:00,2012-09-11 00:00:00,12.6,18.5,8.1
2012-09-11 00:00:00,2012-09-12 00:00:00,28.9,54.4,13.3
2012-09-12 00:00:00,2012-09-13 00:00:00,1.0,3.1,0.2
2012-09-13 00:00:00,2012-09-14 00:00:00,15.7,21.5,8.0
2012-09-14 00:00:00,2012-09-15 00:00:00,0.8,0.5,1.0
2012-09-15 00:00:00,2012-09-16 00:00:00,0.0,0.0,0.0
2012-09-16 00:00:00,2012-09-17 00:00:00,0.0,0.0,0.0
2012-09-17 00:00:00,2012-09-18 00:00:00,23.5,24.0,29.5
2012-09-18 00:00:00,2012-09-19 00:00:00,0.0,0.0,0.0
2012-09-19 00:00:00,2012-09-20 00:00:00,0.4,0.4,0.6
2012-09-20 00:00:00,2012-09-21 00:00:00,23.0,3.5,7.4
2012-09-21 00:00:00,2012-09-22 00:00:00,9.9,8.4,42.5
2012-09-22 00:00:00,2012-09-23 00:00:00,1.6,0.1,0.5
2012-09-23 00:00:00,2012-09-24 00:00:00,0.0,0.5,4.0
2012-09-24 00:00:00,2012-09-25 00:00:00,33.5,15.5,24.0
2012-09-25 00:00:00,2012-09-26 00:00:00,5.5,7.5,10.0
2012-09-26 00:00:00,2012-09-27 00:00:00,1.0,1.0,0.5
2012-09-27 00:00:00,2012-09-28 00:00:00,0.5,0.0,0.5
2012-09-28 00:00:00,2012-09-29 00:00:00,0.0,0.0,0.0
2012-09-29 00:00:00,2012-09-30 00:00:00,0.0,0.0,0.0
2012-09-30 00:00:00,2012-10-01 00:00:00,8.5,55.7,9.5
2012-10-01 00:00:00,2012-10-02 00:00:00,0.0,0.3,1.5
2012-10-02 00:00:00,2012-10-03 00:00:00,6.5,44.0,0.0
2012-10-03 00:00:00,2012-10-04 00:00:00,0.0,0.0,0.0
2012-10-04 00:00:00,2012-10-05 00:00:00,3.0,3.3,8.2
2012-10-05 00:00:00,2012-10-06 00:00:00,2.2,2.2,1.4
2012-10-06 00:00:00,2012-10-07 00:00:00,51.3,46.1,28.8
2012-10-07 00:00:00,2012-10-08 00:00:00,0.5,0.4,0.0
2012-10-08 00:00:00,2012-10-09 00:00:00,4.0,0.0,0.0
2012-10-09 00:00:00,2012-10-10 00:00:00,0.0,0.0,0.0
2012-10-10 00:00:00,2012-10-11 00:00:00,3.0,25.5,1.5
2012-10-11 00:00:00,2012-10-12 00:00:00,0.0,0.0,0.5
2012-10-12 00:00:00,2012-10-13 00:00:00,15.0,2.5,19.5
2012-10-13 00:00:00,2012-10-14 00:00:00,84.5,60.0,32.5
2012-10-14 00:00:00,2012-10-15 00:00:00,22.5,21.0,0.5
2012-10-15 00:00:00,2012-10-16 00:00:00,6.3,19.5,2.2
2012-10-16 00:00:00,2012-10-17 00:00:00,9.2,2.0,15.8
2012-10-17 00:00:00,2012-10-18 00:00:00,2.4,6.5,0.0
2012-10-18 00:00:00,2012-10-19 00:00:00,13.1,4.2,3.4
2012-10-19 00:00:00,2012-10-20 00:00:00,8.6,7.3,9.1
2012-10-20 00:00:00,2012-10-21 00:00:00,0.9,0.9,1.4
2012-10-21 00:00:00,2012-10-22 00:00:00,18.3,32.8,18.0
2012-10-22 00:00:00,2012-10-23 00:00:00,1.8,3.4,4.0
2012-10-23 00:00:00,2012-10-24 00:00:00,0.5,0.0,0.1
2012-10-24 00:00:00,2012-10-25 00:00:00,0.0,0.0,0.0
2012-10-25 00:00:00,2012-10-26 00:00:00,10.0,16.0,13.0
2012-10-26 00:00:00,2012-10-27 00:00:00,0.0,23.0,7.0
2012-10-27 00:00:00,2012-10-28 00:00:00,0.0,0.0,0.0
2012-10-28 00:00:00,2012-10-29 00:00:00,0.0,0.0,0.0
2012-10-29 00:00:00,2012-10-30 00:00:00,0.0,0.0,0.0
2012-10-30 00:00:00,2012-10-31 00:00:00,0.4,0.3,0.8
2012-10-31 00:00:00,2012-11-01 00:00:00,9.8,3.7,4.3
2012-11-01 00:00:00,2012-11-02 00:00:00,7.4,6.5,3.9
2012-11-02 00:00:00,2012-11-03 00:00:00,9.0,17.5,26.0
2012-11-03 00:00:00,2012-11-04 00:00:00,7.0,15.0,12.5
2012-11-04 00:00:00,2012-11-05 00:00:00,6.3,9.2,30.9
2012-11-05 00:00:00,2012-11-06 00:00:00,4.4,16.8,10.6
2012-11-06 00:00:00,2012-11-07 00:00:00,0.3,0.4,0.0
2012-11-07 00:00:00,2012-11-08 00:00:00,0.0,0.1,0.0
2012-11-08 00:00:00,2012-11-09 00:00:00,1.9,2.2,5.0
2012-11-09 00:00:00,2012-11-10 00:00:00,10.6,25.3,5.5
2012-11-10 00:00:00,2012-11-11 00:00:00,32.5,7.0,49.0
2012-11-11 00:00:00,2012-11-12 00:00:00,9.0,16.4,0.0
2012-11-12 00:00:00,2012-11-13 00:00:00,7.4,1.6,10.5
2012-11-13 00:00:00,2012-11-14 00:00:00,1.6,6.0,0.0
2012-11-14 00:00:00,2012-11-15 00:00:00,0.0,0.0,0.0
2012-11-15 00:00:00,2012-11-16 00:00:00,0.0,0.0,0.0
2012-11-16 00:00:00,2012-11-17 00:00:00,0.0,3.5,0.0
2012-11-17 00:00:00,2012-11-18 00:00:00,10.5,5.2,20.7
2012-11-18 00:00:00,2012-11-19 00:00:00,4.5,0.3,43.3
2012-11-19 00:00:00,2012-11-20 00:00:00,21.7,17.0,47.0
2012-11-20 00:00:00,2012-11-21 00:00:00,0.3,0.0,0.0
2012-11-21 00:00:00,2012-11-22 00:00:00,0.0,0.0,0.5
