#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2009-03-20 00:00:00,2009-03-21 00:00:00,9.9,22.0,5.5
2009-03-21 00:00:00,2009-03-22 00:00:00,5.1,4.5,0.9
2009-03-22 00:00:00,2009-03-23 00:00:00,17.0,15.5,3.6
2009-03-23 00:00:00,2009-03-24 00:00:00,0.0,1.0,0.0
2009-03-24 00:00:00,2009-03-25 00:00:00,63.5,20.0,17.5
2009-03-25 00:00:00,2009-03-26 00:00:00,0.0,1.0,0.5
2009-03-26 00:00:00,2009-03-27 00:00:00,0.4,2.4,0.4
2009-03-27 00:00:00,2009-03-28 00:00:00,0.6,3.6,2.6
2009-03-28 00:00:00,2009-03-29 00:00:00,17.0,16.0,2.5
2009-03-29 00:00:00,2009-03-30 00:00:00,38.5,53.0,17.0
2009-03-30 00:00:00,2009-03-31 00:00:00,0.5,3.0,3.0
2009-03-31 00:00:00,2009-04-01 00:00:00,0.0,1.5,0.0
2009-04-01 00:00:00,2009-04-02 00:00:00,0.0,2.5,0.0
2009-04-02 00:00:00,2009-04-03 00:00:00,0.0,0.0,0.0
2009-04-03 00:00:00,2009-04-04 00:00:00,2.0,5.5,0.0
2009-04-04 00:00:00,2009-04-05 00:00:00,0.0,2.5,1.0
2009-04-05 00:00:00,2009-04-06 00:00:00,3.0,1.0,7.5
2009-04-06 00:00:00,2009-04-07 00:00:00,0.0,3.5,0.0
2009-04-07 00:00:00,2009-04-08 00:00:00,5.0,83.8,5.5
2009-04-08 00:00:00,2009-04-09 00:00:00,0.4,11.7,0.4
2009-04-09 00:00:00,2009-04-10 00:00:00,38.6,37.0,28.1
2009-04-10 00:00:00,2009-04-11 00:00:00,0.0,2.0,0.5
2009-04-11 00:00:00,2009-04-12 00:00:00,3.5,2.5,0.5
2009-04-12 00:00:00,2009-04-13 00:00:00,1.3,0.8,2.3
2009-04-13 00:00:00,2009-04-14 00:00:00,6.2,18.7,3.2
2009-04-14 00:00:00,2009-04-15 00:00:00,0.0,2.0,0.0
2009-04-15 00:00:00,2009-04-16 00:00:00,45.0,32.5,31.5
2009-04-16 00:00:00,2009-04-17 00:00:00,1.0,0.0,4.5
2009-04-17 00:00:00,2009-04-18 00:00:00,0.0,0.0,0.5
2009-04-18 00:00:00,2009-04-19 00:00:00,0.0,0.0,0.0
2009-04-19 00:00:00,2009-04-20 00:00:00,33.0,4.0,2.0
2009-04-20 00:00:00,2009-04-21 00:00:00,0.5,3.4,1.0
2009-04-21 00:00:00,2009-04-22 00:00:00,2.5,7.1,3.5
2009-04-22 00:00:00,2009-04-23 00:00:00,0.0,0.0,0.0
2009-04-23 00:00:00,2009-04-24 00:00:00,5.5,0.0,2.5
2009-04-24 00:00:00,2009-04-25 00:00:00,7.5,4.5,8.0
2009-04-25 00:00:00,2009-04-26 00:00:00,0.5,0.0,0.0
2009-04-26 00:00:00,2009-04-27 00:00:00,0.0,0.0,0.0
2009-04-27 00:00:00,2009-04-28 00:00:00,0.5,0.0,0.5
2009-04-28 00:00:00,2009-04-29 00:00:00,0.0,0.0,0.0
2009-04-29 00:00:00,2009-04-30 00:00:00,0.0,0.0,0.0
2009-04-30 00:00:00,2009-05-01 00:00:00,1.0,2.0,2.5
2009-05-01 00:00:00,2009-05-02 00:00:00,0.5,0.5,0.5
2009-05-02 00:00:00,2009-05-03 00:00:00,4.2,1.5,8.9
2009-05-03 00:00:00,2009-05-04 00:00:00,4.4,1.0,8.7
2009-05-04 00:00:00,2009-05-05 00:00:00,0.0,0.5,3.5
2009-05-05 00:00:00,2009-05-06 00:00:00,0.5,1.0,5.4
2009-05-06 00:00:00,2009-05-07 00:00:00,12.5,4.5,14.6
2009-05-07 00:00:00,2009-05-08 00:00:00,2.0,0.0,9.0
2009-05-08 00:00:00,2009-05-09 00:00:00,35.9,115.2,15.7
2009-05-09 00:00:00,2009-05-10 00:00:00,4.6,1.8,10.3
2009-05-10 00:00:00,2009-05-11 00:00:00,12.0,2.5,34.0
2009-05-11 00:00:00,2009-05-12 00:00:00,10.0,4.5,7.0
2009-05-12 00:00:00,2009-05-13 00:00:00,23.5,6.0,7.5
2009-05-13 00:00:00,2009-05-14 00:00:00,1.0,6.9,8.3
2009-05-14 00:00:00,2009-05-15 00:00:00,12.5,4.1,12.7
2009-05-15 00:00:00,2009-05-16 00:00:00,0.0,25.5,2.0
2009-05-16 00:00:00,2009-05-17 00:00:00,2.0,7.5,0.0
2009-05-17 00:00:00,2009-05-18 00:00:00,31.0,64.7,24.1
2009-05-18 00:00:00,2009-05-19 00:00:00,18.5,19.3,22.4
2009-05-19 00:00:00,2009-05-20 00:00:00,0.0,0.0,0.0
2009-05-20 00:00:00,2009-05-21 00:00:00,0.0,0.0,0.0
2009-05-21 00:00:00,2009-05-22 00:00:00,7.3,15.4,8.0
2009-05-22 00:00:00,2009-05-23 00:00:00,0.6,1.6,1.0
2009-05-23 00:00:00,2009-05-24 00:00:00,6.1,23.0,23.5
2009-05-24 00:00:00,2009-05-25 00:00:00,0.0,0.0,0.0
2009-05-25 00:00:00,2009-05-26 00:00:00,7.0,0.0,0.5
